Key,Value,Element,Group,Description,Count
aerialway,cable_car,way,,"A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.",0 41 0 0
aerialway,gondola,way,,An aerialway where the cabins go around in a circle,0 41 0 0
aerialway,mixed_lift,way,,"A mixed lift, containing both gondolas and chairs.",0 4 0 0
aerialway,chair_lift,way,,An open chairlift run. These have a single seat to sit on and are open to the outside air.,0 157 1 0
aerialway,drag_lift,way,,An overhead tow-line for skiers and riders.,2 730 17 1
aerialway,t-bar,way,,An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.,0 273 1 0
aerialway,j-bar,way,,J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.,0 33 0 0
aerialway,platter,way,,An overhead tow-line for skiers and riders with platters.,0 56 0 0
aerialway,rope_tow,way,,A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.,1 157 6 0
aerialway,magic_carpet,way,,A ski lift for small children resembling a conveyor belt.,0 76 1 0
aerialway,zip_line,way,,"Zip line, gravity propelled aerial ropeslide like a flying fox or similar.",0 57 2 0
aerialway,goods,way,,"A cable supported lift for conveying goods, not passengers. Consider other values for aerialway in combination with access and usage keys instead of this.",0 104 1 0
aerialway,pylon,node,,A pylon supporting the aerialway cable.,2808 0 3 0
aerialway,station,node area,,A station where passengers and/or goods can enter and/or leave the aerialway,1225 10 220 0
aeroway,aerodrome,node area,aeroways,"An aerodrome, airport or airfield",167 2 658 0
aeroway,apron,area,aeroways,"An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded",0 6 1025 0
aeroway,gate,node,aeroways,"The bounded space, inside the airport terminal, where passengers wait before boarding their flight",574 0 8 0
aeroway,hangar,area,aeroways,A large airport building with extensive floor areas for housing aircraft or spacecraft,9 0 880 0
aeroway,helipad,node area,aeroways,A landing area or platform designed for helicopters,977 0 1261 0
aeroway,heliport,node area,aeroways,A special aerodrome built for helicopters,1 0 16 0
aeroway,navigationaid,node,aeroways,A facility that supports visual navigation for aircraft,5152 20 27 0
aeroway,runway,way,aeroways,A strip of land on which aircraft can take off and land.,0 1153 169 0
aeroway,spaceport,node area,aeroways,A spaceport or cosmodrome: a site for launching or receiving spacecraft,0 0 0 0
aeroway,taxiway,way,aeroways,A route where airplanes manouevre between runways and parking areas within an aerodrome,2 6207 138 0
aeroway,terminal,node area,aeroways,An airport passenger building,30 0 221 0
aeroway,windsock,node,aeroways,An object that shows wind direction and speed.,548 1 0 0
amenity,bar,node area,restaurants,"*Bar* is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub-bar-restaurant for a distinction between these.",6519 0 597 0
amenity,biergarten,node area,restaurants,"*Biergarten* or *beer garden* is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub-bar-restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub-bar-restaurant.",3350 2 2917 0
amenity,cafe,node area,restaurants,"*Cafe* is generally an informal place that offers casual meals and beverages- typically, the focus is on coffee or tea. Also known as a *coffeehouse/shop*, *bistro* or *sidewalk cafe*. The kind of food served may be mapped with the tags cuisine=* and diet=*. See also the tags amenity=restaurant-bar-fast_food.",26785 0 3645 0
amenity,fast_food,node area,restaurants,Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet=*.,29811 2 5975 0
amenity,food_court,node area,restaurants,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.",108 0 88 0
amenity,ice_cream,node area,restaurants,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter,3400 0 323 0
amenity,pub,node area,restaurants,A place selling beer and other alcoholic drinks- may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub,15840 0 2744 0
amenity,restaurant,node area,restaurants,"Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet=*.",77448 0 22154 0
amenity,college,node area,educational,Campus or buildings of an institute of Further Education (aka continuing education),583 0 696 0
amenity,driving_school,node area,,Driving School which offers motor vehicle driving lessons,5264 0 693 0
amenity,kindergarten,node area,educational,"For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.",12546 2 24971 0
amenity,language_school,node area,educational,Language School: an educational institution where one studies a foreign language.,171 0 9 0
